Tank,Date,Time,Treatment,Nitrate,Ammonia,Unionized Ammonia,Nitrite,DOP,DO,Temp,Chl a,Height,pH,Salinity
L1,3.2.20,Pre,50,2,1,0.0135,0.267,112,10.38,11.2,8.52,23,7.79,23.94
L1,3.2.20,Pre,50,2,1,0.0135,0.267,104,9.81,11.1,6.72,24.25,7.81,23.89
L1,3.2.20,Pre,50,2,1,0.0135,0.267,98,9.298,11.1,7.49,25,7.85,23.89
L2,3.2.20,Pre,50,1.4,2.4,0.05088,0.34,102,9.78,10.8,7.07,24.25,7.91,23.72
L2,3.2.20,Pre,50,1.4,2.4,0.05088,0.34,102,9.74,10.8,6.97,24,7.92,23.71
L2,3.2.20,Pre,50,1.4,2.4,0.05088,0.34,101,9.65,10.8,7.6,24,7.94,23.71
L4,3.2.20,Pre,50,1,1.7,0.03604,0.347,100,9.48,11.2,9.3,25.75,7.95,22.93
L4,3.2.20,Pre,50,1,1.7,0.03604,0.347,101.5,9.63,11.2,9.6,25,7.94,22.93
L4,3.2.20,Pre,50,1,1.7,0.03604,0.347,100.5,9.49,11.2,8.42,25,7.94,22.89
L1,3.3.20,Post,50,1.7,1.2,0.03432,0.121,94,8.15,15.3,1.92,23,7.86,23.28
L1,3.3.20,Post,50,1.7,1.2,0.03432,0.121,96,8.34,15.3,1.45,24.5,7.91,23.38
L1,3.3.20,Post,50,1.7,1.2,0.03432,0.121,96,8.24,15.4,1.92,25.5,7.92,23.27
L2,3.3.20,Post,50,2.1,2.7,0.07722,0.185,97,8.6,15.1,1.52,24.25,7.94,23.13
L2,3.3.20,Post,50,2.1,2.7,0.07722,0.185,95,8.36,15.1,1.57,24.5,7.95,23.13
L2,3.3.20,Post,50,2.1,2.7,0.07722,0.185,97,8.49,15.1,1.41,24.5,7.96,23.13
L4,3.3.20,Post,50,1.3,0.8,0.01456,0.184,97,8.49,15.6,3.97,25.5,7.74,22.39
L4,3.3.20,Post,50,1.3,0.8,0.01456,0.184,93,8.14,15.5,3.71,26,7.8,22.38
L4,3.3.20,Post,50,1.3,0.8,0.01456,0.184,97,8.52,15.5,3.67,25,7.84,22.38
L1,3.20.20,Pre,10,3.1,1.1,0.03091,0.49,96,7.28,21.9,4.46,25.75,7.8,24.46
L1,3.20.20,Pre,10,3.1,1.1,0.03091,0.49,98,7.44,21.9,5.15,26.5,7.77,24.44
L1,3.20.20,Pre,10,3.1,1.1,0.03091,0.49,95,7.19,21.9,4.09,28,7.82,24.46
L2,3.20.20,Pre,10,1.6,0.26,0.011388,0.433,94,7.16,21.7,2.13,25,7.82,26.21
L2,3.20.20,Pre,10,1.6,0.26,0.011388,0.433,93,7.02,21.7,2.34,25,7.84,26.21
L2,3.20.20,Pre,10,1.6,0.26,0.011388,0.433,95,7.16,21.6,2.29,25.5,7.86,26.22
L4,3.20.20,Pre,10,2.5,0.22,0.009636,0.472,97,7.5,21.7,3.11,26,7.91,23.57
L4,3.20.20,Pre,10,2.5,0.22,0.009636,0.472,96,7.34,21.7,2.85,26,7.9,23.58
L4,3.20.20,Pre,10,2.5,0.22,0.009636,0.472,95,7.3,21.7,2.95,25,7.9,23.58
L1,3.21.20,Post,10,3.7,1,0.0438,0.488,91,7.05,22,5.68,25.5,7.8,24.59
L1,3.21.20,Post,10,3.7,1,0.0438,0.488,91,6.94,22,5.93,27.5,7.83,24.6
L1,3.21.20,Post,10,3.7,1,0.0438,0.488,93,7.14,22,5.7,26.5,7.85,24.6
L2,3.21.20,Post,10,2.1,0.24,0.010512,0.448,90,6.79,21.9,2.41,24.5,7.85,26.34
L2,3.21.20,Post,10,2.1,0.24,0.010512,0.448,92,6.87,21.9,2.35,24.25,7.86,26.34
L2,3.21.20,Post,10,2.1,0.24,0.010512,0.448,90,7.14,21.9,2.3,24.75,7.87,26.34
L4,3.21.20,Post,10,2.9,0.17,0.007446,0.468,90,6.89,21.9,2.99,25.75,7.91,23.71
L4,3.21.20,Post,10,2.9,0.17,0.007446,0.468,91,6.94,21.9,2.99,26.5,7.9,23.71
L4,3.21.20,Post,10,2.9,0.17,0.007446,0.468,88,6.72,21.8,3.07,24.75,7.91,23.71
